parameter,count
WaterCarbonBiomassFlow (mg/m^3),13071
PrSedSizClss<63 (%),12101
Age_BE007117 (yr),9859
PU0000 (#/ml),9856
SamplExtraction (Dmnless),9786
Cetac_Behav,9214
CauseDeath,8694
DepBelowSurf (m),8648
SampWetWt (g),7740
Diam_BE007117 (mm),7512
DepBelowSurf_end (m),7401
Platform_Heading (deg),7380
WC_Temp (degC),7247
HeightAboveBed (m),6754
MinDepBelowBed (m),6743
Height_observation (m),6652
Ulva_stranding_type,6640
MedGS (um),6601
BlubberThickness (cm),6546
MaxDepBelowBed (m),6528
Organic carbon in the sediment (g/kg),6494
Subcomp_BE007117,6085
PRSedSiz<2000um (%),5642
PRSedSiz<2500um (%),5642
PRSedSiz<3150um (%),5642
Sed_TotC (%),5642
MolC/N_Sed (Dmnless),5642
PRSedSiz<1250um (%),5616
PRSedSiz<1600um (%),5616
PRSedSiz<1000um (%),5616
Abund_perlengthsampled (#/m),5615
PRSedSiz<160um (%),5551
PRSedSiz<40um (%),5551
PrSedSizClss<30 (%),5551
PRSedSiz<80um (%),5551
PRSedSiz<800um (%),5551
PRSedSiz<100um (%),5551
PrSedbyPS_<20um (%),5551
PRSedSiz<200um (%),5551
PRSedSiz<10um (%),5551
PRSedSiz<250um (%),5551
PRSedSiz<315um (%),5551
PRSedSiz<500um (%),5551
PRSedSiz<630um (%),5551
PRSedSiz<125um (%),5551
TowSpeed (m/s),5378
BathyDepUnknownDatum (m),5295
AreaExtent_Ulva_bloom_blade (m^2),5218
AreaCov_Ulva_blade (m^2),5218
Abund_BE006603 (#/m^2),5112
At_temp (degC),5091
PreservedWW (g),4954
Height (mm),4436
WaterAbundCoccoliths (#/ml),4380
BedCoverage (%),4329
WaterAbundCoccAggregates (#/ml),4326
UpSieveMesh (mm),4193
PrSedSizClss63-125 (%),4084
PrSedSzClss125-150 (%),4084
PrSedSizClss250-500 (%),4084
PrSedSizClss>500 (%),4084
Decomp_stage,3705
DailyBenthicProdAFDW (ug/m^2/d),3417
SedVolAbund (#/ml),3311
DepBelowBed (m),3240
Oxygen Saturation (%),2863
HELC_Cvrg_BE007117 (Dmnless),2831
AFDWBiomAsC (#/ml),2661
Sample_extraction_method_description,2658
BathyDepES (m),2576
Oxygen (umol/l),2568
SPM_TotOrgMat (%),2517
PrSed_WorV_Siz_710-1000um (%),2517
PrSed_WorV_Siz_500-710um (%),2517
PrSed_WorV_Siz_250-500um (%),2517
PrSedByWtSiz_210-250um (%),2517
PrSed_WorV_Siz_125-150um (%),2502
PrSed_WorV_Siz_63-90um (%),2502
PrSedByWtSiz_50-63um (%),2502
Start_UT_ISO8601 (ISO8601),2492
BulksedTotOrgMat (%),2475
H2OS (%),2475
DWPrSed>2000 (%),2475
PrSedByWtSiz_63-2000um (%),2475
%Fines (%),2475
MeanGS (um),2466
End_UT_ISO8601 (ISO8601),2458
MinDepBelowSeaSurf (m),2451
WC_temp_CTD (degC),2252
Hab_CHar,2152
PO4 (umol/l),1923
PrSed_WorV_Siz_177-210um (%),1749
PrSed_WorV_Siz_150-177um (%),1734
PrSed_WorV_Siz_90-125um (%),1734
PrSed_WorV_Siz_38-48.3um (%),1617
PrSed_WorV_Siz_30.2-38um (%),1524
ClusterNameID (Dmnless),1488
Bed_description,1441
ProLenCalan (mm),1384
Length_SD (mm),1305
DissO2_Mass (umol/kg),1169
PDeathCauseBycatch,1117
NO3+NO2 (umol/l),1061
SampLeng (m),1044
PrSed_WorV_Siz_0-60um (%),975
AreaExtent_Ulva_bloom_blade+filamentous (m^2),972
AreaCov_Ulva_blade+filamentous (m^2),972
NO3 (umol/l),828
NO2 (umol/l),816
B085M01Z (Dmnless),812
Water body pH (pH units),787
SortCoeff (Dmnless),768
PDeathCauseShipStrike,750
PDeathCauseNatural,750
PDeathCausePredation,750
Count_mean_BE007117 (Dmnless),730
FLR_average_area (Unspec.),598
FLR_SD_area (Unspec.),598
FLO_average_area (Unspec.),598
FLO_SD_area (Unspec.),598
FWS_average_area (Unspec.),598
FWS_SD_area (Unspec.),598
SWS_average_area (Unspec.),598
SWS_SD_area (Unspec.),598
CTDSal (ppt),578
Count_BE006526 (Dmnless),574
Dissolved+particulate Cu (nmol/l),572
Count_BE006531 (Dmnless),570
Dissolved+particulate Zn (nmol/l),559
Dissolved+particulate Pb (nmol/l),559
Dissolved+particulate Cd (nmol/l),559
HeadLength (mm),506
SampS (ppt),495
Water body chlorophyll-a (mg/m^3),317
POP (umol/l),303
DON (umol/l),303
NutritionalStatus,215
WaterAshFreeBiom_BE007117 (mg/m^3),180
PropColoniesAffected (%),133
B036M01Z (Dmnless),112
HeightAboveSeaLevel (m),109
NH4_0.2umFilt_ColAA (umol/l),81
chl-a_water>GF/F_HPLC (mg/m^3),81
PO4_0.2umFilt_ColAA (umol/l),81
A_sal (g/kg),73
Z34CM02Z (#/l),61
PropColoniesDia>7mm (%),56
Talk (mEquiv/l),56
PropColoniesHeight>100mm (%),52
DryWt_Lipid_BE007117 (%),52
Siz_PVA_ESD_BE003332 (um),50
B037M01Z (Dmnless),42
d15N_19_-99999 (ppt),40
d13C_19_-99999 (ppt),40
GustWindSpd (m/s),36
Shell_width (mm),22
DryWt_inorganic_Hg_BE007543 (ug/kg),20
DryWt_CAS35065-27-1_BE007543 (ug/kg),20
DryWt_CAS21145-77-7_BE007543 (ug/kg),20
DryWt_CAS83834-59-7_BE007543 (ug/kg),20
Mass_C:N_19_-99999 (Dmnless),20
DryWt_CH3Hg+_BE007543 (ug/kg),20
DryWt_totalHg_BE007543 (mg/kg),20
DryWt_CAS37680-73-2_BE007543 (ug/kg),20
DryWt_CAS31508-00-6_BE007543 (ug/kg),20
DryWt_CAS35065-28-2_BE007543 (ug/kg),20
DryWt_CAS38380-04-0_BE007543 (ug/kg),20
DryWt_CAS35065-29-3_BE007543 (ug/kg),20
DryWt_CAS35694-08-7_BE007543 (ug/kg),20
DryWt_CAS1222-05-5_BE007543 (ug/kg),20
DryWt_CH3Hg+_BE009561 (ug/kg),20
DryWt_inorganic_Hg_BE009561 (ug/kg),20
DryWt_total_Hg_BE009561 (ug/kg),20
DryWt_CAS37680-73-2_BE009561 (ug/kg),20
DryWt_CAS35065-28-2_BE009561 (ug/kg),20
DryWt_CAS31508-00-6_BE009561 (ug/kg),20
DryWt_CAS38380-04-0_BE009561 (ug/kg),20
DryWt_CAS35065-29-3_BE009561 (ug/kg),20
DryWt_CAS35065-27-1_BE009561 (ug/kg),20
DryWt_CAS35694-08-7_BE009561 (ug/kg),20
DryWt_CAS1222-05-5_BE009561 (ug/kg),20
DryWt_CAS21145-77-7_BE009561 (ug/kg),20
DryWt_CAS6197-30-4_BE009561 (ug/kg),20
Count_BE006512 (Dmnless),18
CMG (deg T),14
Dissolved+particulate total Fe (nmol/l),13
Z34CM00Z (#/l),12
Count_BE006515 (Dmnless),8
Count_BE006530 (Dmnless),6
Count_BE006520 (Dmnless),2
GustWindDirFrom (deg T),1
